Region,District,City,Address,Polling station number,Polling station code,Total number of voters,Number of voters who received a ballot,Number of voters who took part in the vote,Number of voters who took part in early voting,Number of voters who took part in the vote at the place of residence,Number of voters who took part in the vote on election day,Dmitriev,Konopackaya,Lukashenko,Tsikhanouskaya,Cherechen,Against all,Number of ballots declared invalid,Number of ballots received by the precinct commission,Number of spoiled ballots,Number of unused ballots
Минская,Солигорский,г. Солигорск,"г. Солигорск, ул. Наруцкого, д. 7, ГУО «Средняя школа № 1",17,05-042-0017,2832,2372,2372,883,12,1474,55,31,1881,195,30,180,,,,
Минская,Солигорский,г. Солигорск,"г. Солигорск, ул. Наруцкого, д. 7, ГУО «Средняя школа № 1 г. Солигорска»",18,05-042-0018,2760,2660,2660,1123,16,1521,63,37,1984,213,84,266,13,2890,,230
Минская,Солигорский,г. Солигорск,"г. Солигорск, ул. Наруцкого, д. 7, ГУО «Средняя школа № 1 г. Солигорска»",19,05-042-0019,2804,2464,2464,1129,13,1322,74,49,1818,246,25,246,6,2950,,486
Минская,Солигорский,г. Солигорск,"г. Солигорск, ул. Октябрьская, д. 63, ГУО «Средняя школа № 10 г. Солигорска»",23,05-042-0023,2805,2545,2545,1104,20,1421,51,25,1934,204,30,301,,,,
Минская,Солигорский,г.п. Старобин,"г.п. Старобин, ул. Краснознаменная, д. 85, контора Передвижной механизированной колонны - 10 ОАО «Солигорскводстрой»",33,05-042-0033,1778,1555,1555,903,56,596,24,14,1251,121,24,73,48,1850,1,294
Минская,Солигорский,аг. Краснодворцы,"аг. Краснодворцы, ул. Садовая, д. 59, филиал «Краснодворский сельский Дом культуры» ГУК «Культурно - досуговый центр Солигорского района».",41,05-042-0041,995,925,925,386,112,427,24,24,345,427,23,73,9,1085,0,100
Минская,Солигорский,д. Гаврильчицы,"д. Гаврильчицы, ул. Кирова, д. 68б, филиал «Гаврильчицкий сельский Дом культуры» ГУК «Культурно - досуговый центр Солигорского района»",50,05-042-0050,712,608,608,240,84,284,2,4,308,216,3,75,,,,
Минская,Солигорский,д. Ясковичи,"д. Ясковичи, ул. Круковича, д. 75, филиал «Ясковичский клуб-библиотека» ГУК «Культурно-досуговый центр Солигорского района»",56,05-042-0056,445,396,396,108,191,97,4,6,279,80,9,15,3,405,0,9
Минская,Солигорский,аг. Зажевичи,"аг. Зажевичи, ул. Центральная, д. 1а, Зажевичский сельсовет",62,05-042-0062,741,691,691,229,150,312,11,16,460,150,7,47,,,,
Минская,Стародорожский,г. Старые Дороги,"г. Старые Дороги», ул. Армейская, 16, ГУО «Средняя школа № 3 г.Старые Дороги»",5,05-043-0005,1827,1585,1585,864,51,670,52,16,1071,244,27,145,30,1888,,303
Минская,Столбцовский,г.Столбцы,"г.Столбцы, ул. Коминтерна, 3, Государственное учреждение образования «Гимназия №1 г. Столбцы»",2,05-044-0002,1848,1816,1816,778,98,940,21,17,1252,411,16,99,,,,
Минская,Столбцовский,г.Столбцы,"г. Столбцы, ул. Ленинская, 95, Государственное учреждение «Детско-юношеская спортивная школа»",4,05-044-0004,1570,1221,1221,252,12,957,27,9,343,731,29,66,16,1580,3,356
Минская,Столбцовский,г.Столбцы,"г. Столбцы, ул. Центральная, д.6, Государственное учреждение образования «Средняя школа №3 г. Столбцы»",5,05-044-0005,2138,2037,2037,722,9,1307,52,18,908,889,30,126,14,2147,1,109
Минская,Столбцовский,г.Столбцы,"г.Столбцы, ул. Энгельса, 9, Государственное учреждение образования «Столбцовский центр коррекционно-развивающего обучения и реабилитации».",6,05-044-0006,2214,2147,2147,837,43,1267,19,9,1578,248,19,259,15,2214,1,66
Минская,Столбцовский,г.Столбцы,"г. Столбцы, ул. Моторостроителей, 3, общежитие филиала ОАО «Управляющая компания холдинга «МИНСКИЙ МОТОРНЫЙ ЗАВОД» в г. Столбцы.",7,05-044-0007,1756,1594,1594,493,30,1073,27,12,829,562,37,116,11,1844,2,248
Минская,Столбцовский,пос. Новоколосово,"пос. Новоколосово, ул. Спортивная, 4. Новоколосовский центр культуры Государственного учреждения «Столбцовский районный центр культуры»",10,05-044-0010,1209,1004,1004,436,40,528,23,11,512,352,8,85,13,1219,0,215
Минская,Столбцовский,аг. Засулье,"аг. Засулье, ул. Центральная, 8, Засульский сельский дом культуры Государственного учреждения «Столбцовский районный центр культуры»",25,05-044-0025,794,794,661,159,163,339,15,19,343,230,7,47,,,,
Минская,Узденский,аг. Войково,"ул. Промышленная, 24, государственное учреждение образования «Сутковский учебно-педагогический комплекс детский сад - базовая школа» Узденского района.",10,05-045-0010,584,561,561,172,230,159,3,7,470,62,3,16,,,,
Минская,Узденский,д. Теплень,"д. Теплень, ул. Пролетарская, 1, Тепленский сельский дом культуры.",12,05-045-0012,308,296,296,117,52,127,8,5,124,128,6,25,,,,
Минская,Узденский,аг. Дещенка,"аг. Дещенка, ул. Школьная, 5а, Дещенский центр свободного времени.",14,05-045-0014,1090,1051,1051,330,185,536,10,13,574,396,11,34,13,1061,,10
Минская,Узденский,д. Кухтичи,"д. Кухтичи, ул. Зеленая, 14, Кухтичский сельский дом культуры.",18,05-045-0018,692,625,625,129,323,173,9,14,392,168,6,20,16,720,,95
Минская,Червенский,г.п. Смиловичи,"г.п. Смиловичи, пер. Советский, д. 2, ГУО «Средняя школа № 2 г.п. Смиловичи».",19,05-046-0019,2160,1743,1743,850,41,852,30,21,1391,173,23,105,,,,
Минская,Червенский,аг. Заполье,"аг. Заполье, ул. Минская, д. 12, ГУО «Запольская средняя школа Червенского района»",22,05-046-0022,1806,1458,1458,556,27,875,29,17,671,648,18,70,5,1872,1,413
Минская,Минский,д. Боровляны,"д. Боровляны, ул. 40 лет Победы, д. 35, жилищно- строительный потребительский кооператив «СемьЯ-2008».",1,05-141-0001,2225,1521,1520,357,2,1161,20,10,649,713,12,87,29,2300,1,779
Минская,Минский,д. Боровляны,"д. Боровляны, ул. Первомайская, 48, жилищно- строительный потребительский кооператив «Айболит».",3,05-141-0003,2389,1550,1538,300,10,1240,28,17,291,1048,33,121,12,2483,0,933
Минская,Минский,д. Боровляны,"д. Боровляны, улица 40 лет Победы, д. 32, государственное учреждение образования «Боровлянская средняя школа № 2».",4,05-141-0004,1818,1460,1460,409,2,1049,28,14,580,687,23,120,8,1937,0,477
Минская,Минский,д. Боровляны,"д. Боровляны, ул. 40 лет Победы, д. 33 учреждение образования «Белорусский государственный аграрный технический университет».",5,05-141-0005,2369,1486,1484,256,5,1223,32,13,323,1002,21,93,,,,
Минская,Минский,д. Боровляны,"д. Боровляны, ул. Интернациональная, 35, жилищный кооператив «Александров парк».",6,05-141-0006,2486,,1847,515,16,1316,22,17,707,1004,12,85,,,,
Минская,Минский,д. Королев Стан,"д. Королев Стан, ул. Школьная, д. 1, государственное учреждение образования «Учебно-педагогический комплекс ясли-сад- базовая школа д. Королев Стан».",7,05-141-0007,1325,1132,1132,391,115,626,27,14,698,356,8,20,9,1392,0,260
Минская,Минский,д. Лесковка,"д. Лесковка, государственное учреждение образования «Боровлянская средняя школа № 3».",8,05-141-0008,2144,1437,1437,198,14,1225,31,11,613,688,9,69,16,2175,4,734
Минская,Минский,д. Лесковка,"д. Лесковка, государственное учреждение образования «Боровлянская средняя школа № 3».",9,05-141-0009,1974,1428,1428,189,5,1234,22,14,567,705,4,106,10,2073,0,645
Минская,Минский,аг. Лесной,"аг. Лесной, д. 15 общежитие.",11,05-141-0011,1821,1089,1263,168,6,1089,17,10,178,947,10,96,5,1912,3,646
Минская,Минский,аг. Лесной,"аг. Лесной, государственное учреждение образования «Боровлянская средняя школа».",12,05-141-0012,1821,1279,1279,133,8,1138,13,14,183,960,15,80,14,1842,2,561
Минская,Минский,аг. Лесной,"аг. Лесной, государственное учреждение образования «Боровлянская гимназия».",13,05-141-0013,2980,1493,1569,143,8,1418,22,8,419,1024,20,76,30,3000,0,3
Минская,Минский,аг. Лесной,"аг. Лесной, д. 10 общежитие.",14,05-141-0014,1818,1239,1239,240,13,986,23,13,270,837,16,68,12,1887,0,648
Минская,Минский,аг. Лесной,"аг. Лесной, д. 17 общежитие.",15,05-141-0015,1680,1173,1173,349,10,814,14,20,395,652,7,85,,,,
Минская,Минский,аг. Лесной,"аг. Лесной, д.4 общежитие.",16,05-141-0016,1795,1060,1060,244,5,820,22,10,291,636,18,83,,,,
Минская,Минский,аг. Лесной,"аг. Лесной, 2А, филиал «Сельский дом культуры аг. Лесной» государственного учреждения «Минский районный центр культуры».",17,05-141-0017,1830,1231,1231,161,3,1067,18,14,235,860,18,82,4,1836,2,603
Минская,Минский,аг. Лесной,"аг. Лесной, д. 21, Боровлянский сельский исполнительный комитет.",18,05-141-0018,1550,1130,1125,192,4,929,10,15,356,660,16,68,,,,
Минская,Минский,аг. Лесной,"аг. Лесной, государственное учреждение здравоохранения «Республиканский клинический госпиталь инвалидов Великой Отечественной войны им. П.М.Машерова».",19,05-141-0019,2125,1410,1409,206,1,1202,21,18,242,985,21,100,22,2205,5,790
Минская,Минский,аг. Лесной,"аг. Лесной, государственное учреждение здравоохранения «Республиканский клинический госпиталь инвалидов Великой Отечественной войны им. П.М.Машерова».",20,05-141-0020,1883,1785,1775,685,10,1093,21,16,982,541,25,190,,,,
Минская,Минский,аг. Лесной,"аг. Лесной, учреждение здравоохранения «Минская областная детская клиническая больница».",21,05-141-0021,2375,1741,1737,295,11,1431,27,14,279,1274,22,107,14,2500,4,754
Минская,Минский,аг. Лесной,"аг. Лесной, учреждение здравоохранения «Минская Ордена Трудового Красного Знамени областная клиническая больница».",22,05-141-0022,430,427,427,,,427,15,16,136,211,3,46,,,,
Минская,Минский,1785,"д. Валерьяново, ул. Городская, д. 5А, спортивно- оздоровительный комплекс Life City.",24,05-141-0024,1883,1785,1785,682,10,1093,21,16,982,541,25,191,9,1978,,98
Минская,Минский,д. Копище,"д. Копище, ул. Лопатина, д. 20, государственное учреждение образования «Детский сад д.Копище».",25,05-141-0025,2375,1741,1737,295,11,1431,27,14,279,1274,22,107,14,2500,4,754
Минская,Минский,д. Копище,"д. Копище, ул. Михаила Миля, д. 1, государственное учреждение образования «Детский сад № 3 д. Копище».",26,05-141-0026,3062,2609,2607,123,2,2482,12,5,132,2341,19,81,15,3109,2,500
Минская,Минский,д. Копище,"д. Копище, ул. Артема Микояна, д. 1А, государственное учреждение образования «Детский сад № 2 д. Копище».",27,05-141-0027,2032,1457,1455,102,1,1352,16,8,83,1248,15,75,10,2130,2,853
Минская,Минский,д. Копище,"д. Копище, ул. Николая Михайлашева, 1, товарищество собственников жилого дома 1 по ул. Н.Михайлашева.",28,05-141-0028,2443,1708,1708,290,3,1415,29,12,457,1049,32,129,,,,
Минская,Минский,д. Боровая,"д. Боровая, д. 1, жилищно-строительный кооператив «Боровая 2007».",29,05-141-0029,872,663,663,341,,332,10,3,340,263,6,41,,,,
Минская,Минский,аг. Новоселье,"аг. Новоселье, ул. Школьная, д. 2, филиал «Новосельский центр культуры и досуга» государственного учреждения «Минский районный центр культуры».",30,05-141-0030,1869,1381,1381,407,62,912,19,22,762,445,11,97,,1869,25,488
Минская,Минский,д. Новое Поле,"д. Новое Поле, государственное учреждение образования «Новопольский государственный аграрно-экономический колледж».",31,05-141-0031,717,592,592,162,66,364,8,4,241,295,10,34,,,,
Минская,Минский,п. Тресковщина,"п. Тресковщина, государственное учреждение образования «Ясли-сад д. Тресковщина».",32,05-141-0032,1609,1386,1386,344,469,573,18,32,987,256,20,47,26,1634,0,248
Минская,Минский,аг. Чачково,"аг. Чачково, ул. Центральная, д. 6, государственное учреждение образования «Учебно-педагогический комплекс детский сад средняя школа аг. Чачково».",33,05-141-0033,1036,852,852,277,89,486,14,14,501,249,12,62,,,,
Минская,Минский,аг. Ждановичи,"аг. Ждановичи, ул. Парковая, д. 4, Ждановичский сельский исполнительный комитет.",34,05-141-0034,2001,1721,1721,360,251,1110,21,29,894,638,36,103,,,,
Минская,Минский,аг. Ждановичи,"аг. Ждановичи, ул. Парковая, д. 8, государственное учреждение образования «Ждановичская средняя школа».",35,05-141-0035,2143,1508,1502,308,19,1175,16,13,796,644,4,29,,,,
Минская,Минский,аг. Ждановичи,"аг. Ждановичи, ул. Широкая, д. 50, образования «Ждановичская учреждение общеобразовательная школа-интернат». Вишневый, 2-ой Каменная Горка, помещения для государственное специальная",36,05-141-0036,2398,1797,1781,193,36,1552,3,4,983,768,2,21,,,,
Минская,Минский,аг. Ждановичи,"аг. Ждановичи, 81/5, государственное учреждение «Республиканский клинический медицинский центр» Управления делами .",37,05-141-0037,61,61,61,,,61,1,1,47,5,1,6,,,,
Минская,Минский,аг. Ратомка,"аг. Ратомка, ул. Ишутина, д. 13, государственное учреждение образования «Ратомская средняя школа».",38,05-141-0038,2242,1784,1784,297,203,1284,18,11,956,700,16,78,5,2279,0,458
Минская,Минский,аг. Ратомка,"аг. Ратомка, учреждение «Республиканский центр голосования: олимпийской подготовки конного спорта и коневодства».",39,05-141-0039,2404,2217,2217,618,27,1572,8,24,1302,846,12,25,,,,
Минская,Минский,д. Тарасово,"д. Тарасово, пер. Школьный, д. 5, здание бывшей Тарасовской базовой школы.",40,05-141-0040,2411,1523,1523,136,28,1359,12,12,153,1266,10,62,8,2486,1,962
Минская,Минский,г. Заславль,"г. Заславль, ул. Советская, 28, государственное учреждение образования «Заславская средняя школа №1».",41,05-141-0041,855,798,798,303,20,475,10,10,396,353,3,23,3,879,3,78
Минская,Минский,г. Заславль,"г. Заславль, ул. Путейко, д. 1, общество с ограниченной ответственностью «Марк Формэль».",42,05-141-0042,1389,1051,1051,213,13,825,8,13,377,639,14,0,,,,
Минская,Минский,г. Заславль,"г. Заславль, ул. Советская, д. 93/2, филиал «Заславский городской дом культуры» государственного учреждения «Минский районный центр культуры».",44,05-141-0044,2421,1684,1684,279,16,1389,17,17,742,775,24,108,1,2527,,842
Минская,Минский,г. Заславль,"г. Заславль, Микрорайон 2, д. З, государственное учреждение образования «Заславская средняя школа N92 им. М.К.Путейко».",45,05-141-0045,2616,2005,2005,438,11,1556,28,69,1037,701,24,123,23,2734,0,729
Минская,Минский,г. Заславль,"г. Заславль, ул. Юбилейная, д. 2А, открытое акционерное общество «1-я Минская птицефабрика».",46,05-141-0046,1275,910,910,224,13,673,15,11,420,401,6,57,,,,
Минская,Минский,г. Заславль,"г. Заславль, ул. Дзержинская, д. 26, общество с ограниченной ответственностью «Мэтр Заславль».",47,05-141-0047,1935,1351,1351,197,26,1128,6,4,729,581,7,24,0,2012,2,659
Минская,Минский,аг. Колодищи,"аг. Колодищи, ул. Военный городок Колодищи, голосования: контрольно-пропускной пункт.",48,05-141-0048,1503,1063,1063,366,6,691,25,12,478,473,19,56,,,,
Минская,Минский,аг. Колодищи,"аг. Колодищи, ул. Центральная д. З, филиал, «Колодищанский сельский дом культуры» государственного учреждения «Минский районный центр культуры».",50,05-141-0050,1855,1410,1404,486,24,894,24,23,497,719,24,106,11,1949,3,536
Минская,Минский,аг. Колодищи,"аг. Колодищи, ул. Минская, д. З, государственное учреждение образования «Колодищанская средняя школа».",51,05-141-0051,2117,1490,1490,340,18,1132,26,15,589,737,30,93,,,,
Минская,Минский,аг. Колодищи,"аг. Колодищи, ул. Короткая, д. Та, Колодищанский сельский исполнительный комитет.",52,05-141-0052,1981,1574,1574,532,22,1020,31,26,1070,361,10,66,10,2056,3,479
Минская,Минский,аг. Колодищи,"аг. Колодищи, пер. Школьный, д. 1, филиал «Колодищанский культурно-спортивный центр» государственного учреждения «Минский районный центр культуры».",54,05-141-0054,2312,2412,1655,127,15,1513,24,20,277,1230,10,78,16,2428,2,771
Минская,Минский,п. Сухорукие,"п. Сухорукие, ул. Базовская, д. 1 А, открытое акционерное общество «Минскконтракт».",55,05-141-0055,1060,679,679,79,11,589,10,11,135,470,7,40,6,1095,2,414
Минская,Минский,д. Старина,"д. Старина, ул. Ленина, Старинская сельская библиотека- клуб.",56,05-141-0056,1079,711,711,118,32,561,17,12,199,433,8,40,,1133,2,422
Минская,Минский,аг. Крупица,"аг. Крупица, ул. Школьная, 10, филиал «Крупицкий центр культуры имени Заслуженного работника культуры В.Н.Грома» государственного учреждения «Минский районный центр культуры».",58,05-141-0058,1511,1511,1254,379,157,718,11,8,599,548,10,78,,,,
Минская,Минский,д. Аннополь,"д. Аннополь, ул. Центральная, 6, филиал «Аннопольский сельский дом культуры» государственного учреждения «Минский районный центр культуры».",59,05-141-0059,847,594,594,145,95,354,7,62,427,137,11,14,7,859,0,265
Минская,Минский,аг. Лошаны,"аг. Лошаны, ул. Советская, д. 1, Лошанский сельский исполнительный комитет.",60,05-141-0060,1557,1226,1226,282,293,651,17,19,679,477,9,25,,,,
Минская,Минский,аг. Луговая Слобода,"аг. Луговая Слобода, ул. Мира, д. 14, филиал «Луговослободской сельский дом культуры» государственного учреждения «Минский районный центр культуры».",61,05-141-0061,1483,1111,1111,389,75,647,11,21,552,475,17,30,5,1533,,422
Минская,Минский,п. Привольный,"п. Привольный, ул. Мира, д. 15, «Привольненский центр отдыха» государственного учреждения «Минский районный центр культуры».",62,05-141-0062,2405,1673,1671,270,51,1350,29,20,619,898,19,58,28,2426,2,751
Минская,Минский,аг. Замосточье,"аг. Замосточье, ул. Центральная, д. 9, государственное учреждение «Замосточский центр досуга».",63,05-141-0063,2775,2055,2055,298,162,1595,22,27,1488,436,10,62,10,2914,,859
Минская,Минский,г.п. Мачулищи,"г.п. Мачулищи, пер. Школьный, З, государственное учреждение образования «Мачулищанская средняя школа имени Героев Советского Союза Вдовенко И. Т. и Гомоненко Н.В.».",65,05-141-0065,1720,1373,1370,531,43,796,64,100,933,187,9,40,37,1806,3,430
Минская,Минский,г.п. Мачулищи,"г.п. Мачулищи, пер. Школьный, 1, государственное учреждение образования «Мачулищанская средняя школа имени Героев Советского Союза Вдовенко И.Т. и Гомоненко Н.В.».",66,05-141-0066,1780,1422,1418,489,23,906,17,98,942,307,11,27,16,1869,4,443
Минская,Минский,г.п. Мачулищи,"г.п. Мачулищи, ул. Героев, 1, филиал 20, 21, 22, 23, 25, помещения для «Мачулищанский центр культуры и досуга» государственного учреждения «Минский районный центр культуры».",67,05-141-0067,1420,1260,1260,461,0,799,8,5,895,328,9,8,7,1491,2,229
Минская,Минский,г.п. Мачулищи,"г.п. Мачулищи, ул. Героев, д. 1, филиал «Мачулищанский центр культуры и досуга» государственного учреждения «Минский районный центр культуры».",68,05-141-0068,2317,1723,1723,695,8,1020,19,7,1214,422,11,50,,,,
Минская,Минский,аг. Михановичи,"аг. Михановичи, ул. Советская, д. 8, государственное учреждение образования «Михановичская средняя школа».",70,05-141-0070,1994,1305,1305,201,14,1090,26,25,322,794,16,109,13,2094,2,787
Минская,Минский,аг. Михановичи,"аг. Михановичи, УЛ. Советская, д. 15 ЖЭУ-5 государственного предприятия «Жилищник Минщины».",71,05-141-0071,1998,1294,1294,337,17,940,64,16,740,424,36,14,,2098,8,796
Минская,Минский,аг. Новый Двор,"аг. Новый Двор, ул. Парковая, д. 8, филиал «Новодворский центр традиционной культуры» государственного учреждения «Минский районный центр культуры».",73,05-141-0073,1448,1130,1130,431,23,676,9,10,517,570,12,12,,,,
Минская,Минский,п/о Стайки,"п/о Стайки, государственное учреждение «Республиканский центр олимпийской подготовки «Стайки».",74,05-141-0074,1329,1169,1166,361,41,764,14,27,758,337,12,14,4,1396,3,224
Минская,Минский,д. Большой Тростенец,"д. Большой Тростенец, ул. Школьная, д. 41, голосования: государственное учреждение образования «Тростенецкая средняя школа».",75,05-141-0075,1556,1255,1255,390,45,820,30,11,742,431,7,19,15,1641,,389
Минская,Минский,д. Большой Тростенец,"д. Большой Тростенец, ул. Молодежная, голосования: государственное учреждение физической культуры и спорта «Волейбольный клуб «Минск».",76,05-141-0076,2360,2248,2243,600,53,1590,4,10,1597,614,5,9,4,2500,5,252
Минская,Минский,аг. Гатово,"аг. Гатово, ул. Металлургическая, д. 13, государственное учреждение образования «Гатовская средняя школа».",77,05-141-0077,1626,1262,1262,408,50,804,12,15,618,547,19,27,24,1726,,464
Минская,Минский,аг. Гатово,"аг. Гатово, ул. Металлургическая, д. 13, государственное учреждение образования «Гатовская средняя школа».",78,05-141-0078,2209,1734,1733,551,11,1171,24,24,711,834,34,88,9,2429,1,594
Минская,Минский,аг. Острошицкий Городок,"аг. Острошицкий Городок, ул. Первомайская, д. З, филиал «Острошицко-Городокский сельский дом культуры» государственного учреждения «Минский районный центр культуры».",80,05-141-0080,1334,862,862,115,103,644,15,17,280,480,14,56,,,,
Минская,Минский,аг. Острошицкий Городок,"аг. Острошицкий Городок, ул. Первомайская, д. З, филиал «Острошицко-Городокский сельский дом культуры» государственного учреждения «Минский районный центр культуры».",81,05-141-0081,2018,1396,1396,180,122,1094,28,21,432,680,20,215,,,,
Минская,Минский,п/о Острошицкий Городок,"п/о Острошицкий Городок, учреждение «Республиканский центр олимпийской подготовки по зимним видам спорта «Раубичи».",82,05-141-0082,988,849,849,269,62,518,12,29,521,242,6,39,,,,
Минская,Минский,военный городок Околица,"военный городок Околица, войсковая часть 3310.",83,05-141-0083,1011,814,814,533,7,274,6,4,606,161,6,31,,,,
Минская,Минский,аг. Большевик,"аг. Большевик, ул. Фабричная, д. 4, государственное учреждение образования «Дубовлянская средняя школа».",84,05-141-0084,1988,1579,1579,516,18,1045,19,15,1065,405,11,51,13,2093,,514
Минская,Минский,аг. Большевик,"аг. Большевик, ул. Фабричная, д. 6, Папернянский сельский исполнительный комитет.",85,05-141-0085,1681,1357,1354,453,54,847,8,13,926,351,3,53,,,,
Минская,Минский,д. Паперня,"д. Паперня, ул. Центральная, д. 21, государственное учреждение образования «Папернянская средняя школа».",86,05-141-0086,591,513,513,165,83,265,13,13,279,178,5,25,,,,
Минская,Минский,аг. Вишнёвка,"аг. Вишнёвка, ул. Центральная, д. 1A, открытое акционерное общество «Вишнёвка-2010».",87,05-141-0087,1170,1170,1190,352,66,772,11,9,998,154,9,8,,1229,1,39
Минская,Минский,"аг. Семково,","аг. Семково,, ул. Центральная, д. 1, государственное учреждение образования «Сёмковская средняя школа».",88,05-141-0088,2944,2237,2232,607,124,1501,33,15,1001,1132,24,27,,,,
Минская,Минский,аг. Петришки,"аг. Петришки, ул. Гагарина, д. 8, Петришковский сельский исполнительный комитет.",89,05-141-0089,2268,1901,1901,249,428,1224,29,35,1041,718,15,59,4,2384,1,482
Минская,Минский,аг. Самохваловичи,"аг. Самохваловичи, ул. Ковалева, д. 2, республиканское унитарное предприятие «Институт плодоводства».",90,05-141-0090,2730,2018,2016,650,30,1336,25,10,1031,916,20,14,,,,
Минская,Минский,аг. Самохваловичи,"аг. Самохваловичи, ул. Калинина, д. 19, Самохваловичский сельский исполнительный комитет.",91,05-141-0091,1552,1094,1094,174,188,732,27,14,578,418,13,39,5,1733,3,636
Минская,Минский,аг. Сеница,"аг. Сеница, ул. Набережная, д. 54Б, филиал «Сеницкий центр культуры» государственного учреждения «Минский районный центр культуры».",92,05-141-0092,2564,1902,1900,659,24,1217,64,44,511,1128,28,70,53,2088,2,786
Минская,Минский,аг. Сеница,"аг. Сеница, ул. Набережная, д. 54Б, филиал «Сеницкий центр культуры» государственного учреждения «Минский районный центр культуры».",93,05-141-0093,2730,2018,2016,650,30,1336,25,10,1031,916,20,14,,,,
Минская,Минский,аг. Сеница,"аг. Сеница, ул. Набережная, д. 59, учреждение образования «Минский государственный областной колледж».",94,05-141-0094,2498,1856,1849,595,18,1236,88,28,1412,263,30,22,6,2623,8,759
Минская,Минский,аг. Сеница,"аг. Сеница, ул. Слуцкое шоссе, д. 37, государственное учреждение дополнительного образования «Центр туризма и краеведения детей и молодежи» «Вегразь» Минского района».",95,05-141-0095,2147,1621,1621,552,140,929,64,78,1140,229,95,15,,,,
Минская,Минский,аг. Атолино,"аг. Атолино, ул. Школьная, д. 7А, государственное учреждение образования «Прилукская средняя школа».",96,05-141-0096,1650,1352,1352,316,13,1023,25,16,530,691,12,71,7,1699,4,343
Минская,Минский,аг. Атолино,"аг. Атолино, ул. Западная, д. 4, филиал 1 «Атолинская больница» учреждения здравоохранения «Минская центральная районная больница».",97,05-141-0097,75,75,75,0,29,46,0,5,29,33,0,8,,,,
Минская,Минский,аг. Прилуки,"аг. Прилуки, ул. Мира, д. 2, Республиканское унитарное предприятие «Институт защиты растений».",98,05-141-0098,2327,1838,1837,465,16,1356,42,26,553,1052,27,123,14,2448,1,609
Минская,Минский,аг. Прилуки,"аг. Прилуки, пер. Майский, д. 1, государственное учреждение образования «Прилукский детский сад № 2».",99,05-141-0099,2194,1604,1604,321,4,1279,22,13,405,1051,16,76,15,2304,6,694
Минская,Минский,аг. Хатежино,"аг. Хатежино, ул. Советская, д. 2, Хатежинский сельский исполнительный комитет.",100,05-141-0100,1735,1576,1576,408,78,1090,6,12,883,644,7,24,,,,
Минская,Минский,д. Старое Село,"д. Старое Село, ул. Заречная, д. 17, государственное учреждение образования «Учебно-педагогический комплекс детский сад — средняя школа д. Старое Село».",101,05-141-0101,974,856,856,219,154,483,14,10,446,373,1,12,,,,
Минская,Минский,аг. Шершуны,"аг. Шершуны, ул. Савенко д. 2, государственное учреждение образования «Учебно-педагогический комплекс детский сад — средняя школа п. Шершуны».",102,05-141-0102,792,622,622,220,127,275,16,6,437,128,3,32,,,,
Минская,Минский,д. Новый Двор,"д. Новый Двор, ул. Школьная, д. 1, государственное учреждение образования «Роговский учебно-педагогический комплекс детский сад — средняя школа».",103,05-141-0103,700,519,519,119,115,285,6,4,254,236,4,15,,,,
Минская,Минский,аг. Щомыслица,"аг. Щомыслица, ул. Жуковского, д. 33, государственное учреждение образования «Щомыслицкая средняя школа».",104,05-141-0104,1556,1107,1107,126,271,710,22,10,335,666,5,69,,,,
Минская,Минский,аг. Щомыслица,"аг. Щомыслица, ул. Жуковского, д. 44, Щомыслицкий сельский исполнительный комитет.",105,05-141-0105,1380,988,988,155,71,761,15,8,338,560,13,54,,,,
Минская,Минский,аг. Озерцо,"аг. Озерцо, ул. Школьная, государственное учреждение образования «Озерцовская средняя школа».",106,05-141-0106,2170,1670,1669,272,22,1375,24,17,583,881,36,128,,,,
Минская,Минский,аг. Озерцо,"аг. Озерцо, ул. Строителей, 21, государственное голосования: учреждение образования «Озерцовский ясли-сад».",107,05-141-0107,1518,1073,1073,144,87,842,26,18,272,673,11,60,13,1594,2,519
Минская,Минский,аг. Юзуфово,"аг. Юзуфово, ул. Юбилейная, д. 15, филиал «Юзуфовский сельский дом культуры» государственного учреждения «Минский районный центр культуры».",108,05-141-0108,1542,1158,1158,249,299,610,16,25,820,267,14,16,,,,
Могилевская,Бобруйск - Первомайский,Бобруйск,"улица Сикорского, 14, ГУО «Ясли-сад № 78 г. Бобруйска»",50,06-012-0050,1830,1543,1543,847,2,694,22,13,1313,170,11,14,,,,
Могилевская,Бобруйск - Первомайский,Бобруйск,"ул. Сикорского, 20, детский подростковый клуб «Спутник» ГУО «Центр дополнительного образования детей и молодежи «Росквiт» («Росквит») г.Бобруйска»",56,06-012-0056,2115,1740,1740,642,32,1056,23,10,1113,442,38,114,,,,
Могилевская,Бобруйск - Первомайский,Бобруйск,"ул.Батова, 22, ГУО «Ясли-сад № 81 г. Бобруйска»",59,06-012-0059,2566,2136,2136,1138,16,982,21,19,1812,146,37,101,,,,
Могилевская,Бобруйск - Первомайский,Бобруйск,"ул. Ульяновская, 106, общежитие КУП «ЖРЭУ Первомайского района г.Бобруйска»",67,06-012-0067,1299,1173,1172,453,5,714,20,7,664,412,28,41,,,,
Могилевская,Бобруйск - Первомайский,Бобруйск,"ул.Ульяновская, 35/31, ГУК «Дворец искусств г.Бобруйска»",76,06-012-0076,2360,2248,2243,600,53,1590,4,10,1597,615,5,12,,,,
